ApplicantName,Age,Gender,MaritalStatus,Education,EmploymentType,SelfEmployed,AnnualIncome,MonthlyIncome,ExistingEMI,CreditCardUsage,NumberExistingLoans,LoanAmount,LoanPurpose,LoanTenure,CIBILScore,BankBalance,PropertyOwnership,Dependents,DebtToIncomeRatio,CreditUtilizationRatio,SavingsAmount,PreviousLoanDefaults,LoanStatus
Karan Malhotra,28,Male,Married,High School,Freelancer,1,914000.0,76166.67,20998.66,0.7,1,2995000.0,Business Loan,240,728,2059515.7,Mortgaged,0,0.44,0.7,2059515.7,0,1
Karan Malhotra,25,Female,Single,High School,Freelancer,1,441000.0,36750.0,10364.85,0.3,2,408000.0,Education Loan,48,538,331683.27,Rented,3,0.51,0.3,331683.27,1,0
Rahul Verma,48,Male,Single,Post Graduate,Freelancer,1,180000.0,15000.0,4684.16,0.69,3,154000.0,Car Loan,120,658,252408.01,Rented,4,0.4,0.69,252408.01,1,0
Divya Agarwal,51,Female,Divorced,Graduate,Freelancer,1,266000.0,22166.67,4757.87,0.9,1,570000.0,Car Loan,180,543,370200.01,Mortgaged,1,0.36,0.9,370200.01,1,0
Tanvi Bhatia,45,Male,Married,Post Graduate,Business,1,854000.0,71166.67,13957.65,0.08,1,2006000.0,Medical Emergency,180,649,1569682.15,Rented,1,0.35,0.08,1569682.15,0,1
Tanvi Bhatia,52,Male,Married,Graduate,Salaried,0,222000.0,18500.0,5350.89,0.17,0,675000.0,Home Loan,60,805,224186.54,Owned,1,0.9,0.17,224186.54,0,1
Amit Kumar,22,Female,Married,Doctorate,Business,1,751000.0,62583.33,23513.18,0.47,0,3469000.0,Home Loan,120,639,479238.03,Owned,4,0.84,0.47,479238.03,0,0
Priya Patel,62,Male,Single,Post Graduate,Salaried,0,603000.0,50250.0,14049.95,0.26,3,1872000.0,Home Loan,48,726,733297.18,Rented,4,1.06,0.26,733297.18,0,1
Neha Gupta,40,Male,Single,High School,Salaried,0,983000.0,81916.67,21331.77,0.89,2,3605000.0,Car Loan,180,768,2319417.44,Owned,3,0.5,0.89,2319417.44,1,0
Kavya Reddy,54,Male,Divorced,High School,Salaried,0,488000.0,40666.67,14570.96,0.56,0,354000.0,Business Loan,180,602,823573.79,Owned,0,0.41,0.56,823573.79,0,1
Amit Kumar,42,Male,Married,Doctorate,Salaried,0,345000.0,28750.0,5608.71,0.38,0,1864000.0,Car Loan,36,687,395083.36,Mortgaged,2,2.0,0.38,395083.36,0,0
Aditya Joshi,57,Female,Married,Doctorate,Business,1,1128000.0,94000.0,13633.48,0.27,0,6362000.0,Education Loan,240,691,772987.1,Rented,4,0.43,0.27,772987.1,0,1
Siddharth Rao,59,Female,Single,Doctorate,Business,1,1855000.0,154583.33,12649.23,0.24,3,9067000.0,Education Loan,60,845,4104684.55,Mortgaged,2,1.06,0.24,4104684.55,0,1
Meera Pillai,37,Male,Divorced,Post Graduate,Salaried,0,202000.0,16833.33,1828.27,0.42,1,718000.0,Personal Loan,240,500,333333.73,Rented,1,0.29,0.42,333333.73,1,0
Aarav Sharma,43,Male,Married,Post Graduate,Freelancer,1,1288000.0,107333.33,33413.32,0.33,0,4764000.0,Car Loan,360,619,1769985.87,Rented,1,0.43,0.33,1769985.87,0,1
Meera Pillai,21,Female,Married,Doctorate,Business,1,180000.0,15000.0,2069.71,0.26,0,804000.0,Education Loan,24,649,338924.62,Mortgaged,0,2.37,0.26,338924.62,0,0
Rohan Mehta,60,Female,Married,High School,Salaried,0,494000.0,41166.67,15424.44,0.32,2,1228000.0,Education Loan,12,732,888826.72,Owned,4,2.86,0.32,888826.72,0,1
Priya Patel,23,Female,Divorced,Post Graduate,Freelancer,1,285000.0,23750.0,1096.41,0.06,1,588000.0,Car Loan,240,564,261542.86,Owned,3,0.15,0.06,261542.86,0,1
Ananya Iyer,25,Male,Married,Doctorate,Salaried,0,374000.0,31166.67,8092.72,0.67,1,499000.0,Business Loan,60,625,113858.38,Owned,1,0.53,0.67,113858.38,0,0
Divya Agarwal,46,Male,Divorced,Doctorate,Freelancer,1,180000.0,15000.0,6132.4,0.32,0,673000.0,Car Loan,60,587,263647.93,Owned,4,1.16,0.32,263647.93,0,0
Ananya Iyer,43,Male,Divorced,Post Graduate,Business,1,364000.0,30333.33,9014.84,0.19,0,530000.0,Home Loan,36,727,38737.51,Rented,2,0.78,0.19,38737.51,0,0
Riya Sen,52,Female,Single,Post Graduate,Business,1,564000.0,47000.0,14952.12,0.68,0,1690000.0,Medical Emergency,48,761,1307005.99,Mortgaged,1,1.07,0.68,1307005.99,0,1
Rohan Mehta,48,Female,Single,Post Graduate,Self-Employed,1,652000.0,54333.33,22210.66,0.79,1,582000.0,Personal Loan,60,691,996324.91,Mortgaged,3,0.59,0.79,996324.91,0,1
Karan Malhotra,53,Male,Married,High School,Freelancer,1,1591000.0,132583.33,56242.42,0.5,4,5116000.0,Home Loan,12,504,3555272.36,Mortgaged,4,3.64,0.5,3555272.36,1,0
Aditya Joshi,32,Male,Single,Post Graduate,Salaried,0,524000.0,43666.67,19641.6,0.66,0,1039000.0,Home Loan,36,623,644101.84,Mortgaged,4,1.11,0.66,644101.84,0,0
Aditya Joshi,46,Male,Divorced,Doctorate,Freelancer,1,225000.0,18750.0,8176.4,0.47,0,618000.0,Education Loan,24,795,485675.87,Rented,3,1.81,0.47,485675.87,0,1
Riya Sen,31,Female,Divorced,Doctorate,Salaried,0,550000.0,45833.33,9380.78,0.33,1,1253000.0,Car Loan,360,732,1143903.91,Owned,1,0.28,0.33,1143903.91,0,1
Meera Pillai,57,Female,Married,Graduate,Self-Employed,1,693000.0,57750.0,13472.94,0.61,2,2247000.0,Car Loan,12,734,407858.06,Mortgaged,4,3.48,0.61,407858.06,0,0
Sneha Nair,32,Female,Divorced,Doctorate,Salaried,0,1123000.0,93583.33,1215.76,0.62,1,5498000.0,Medical Emergency,36,640,949833.77,Owned,0,1.64,0.62,949833.77,0,0
Rahul Verma,40,Male,Single,Doctorate,Salaried,0,323000.0,26916.67,7845.38,0.19,2,1818000.0,Education Loan,360,765,579135.1,Rented,0,0.48,0.19,579135.1,0,1
Riya Sen,39,Male,Married,Post Graduate,Freelancer,1,376000.0,31333.33,2687.61,0.59,4,1731000.0,Personal Loan,24,624,286885.66,Rented,2,2.39,0.59,286885.66,0,0
Deepak Choudhury,32,Female,Single,High School,Business,1,912000.0,76000.0,28641.68,0.57,3,3766000.0,Personal Loan,240,572,1270045.17,Rented,1,0.58,0.57,1270045.17,1,0
Meera Pillai,59,Female,Married,High School,Self-Employed,1,538000.0,44833.33,19787.13,0.26,5,1402000.0,Car Loan,12,830,464629.27,Rented,4,3.05,0.26,464629.27,0,1
Siddharth Rao,60,Female,Divorced,Post Graduate,Freelancer,1,333000.0,27750.0,12048.25,0.16,0,1935000.0,Education Loan,24,700,731952.95,Rented,2,3.34,0.16,731952.95,0,1
Karan Malhotra,28,Male,Divorced,Post Graduate,Freelancer,1,186000.0,15500.0,6074.76,0.92,4,170000.0,Education Loan,120,553,296823.0,Rented,2,0.48,0.92,296823.0,1,0
Amit Kumar,64,Female,Married,Doctorate,Salaried,0,180000.0,15000.0,4167.85,0.26,1,768000.0,Education Loan,48,821,340603.07,Rented,2,1.34,0.26,340603.07,0,1
Ananya Iyer,33,Female,Single,High School,Salaried,0,1052000.0,87666.67,1814.34,0.77,4,2223000.0,Education Loan,180,507,472734.62,Mortgaged,3,0.16,0.77,472734.62,1,0
Neha Gupta,45,Male,Single,Graduate,Freelancer,1,360000.0,30000.0,8366.09,0.27,1,1987000.0,Personal Loan,48,721,434433.53,Rented,4,1.66,0.27,434433.53,0,0
Aarav Sharma,41,Female,Married,Post Graduate,Salaried,0,400000.0,33333.33,6625.95,0.36,1,1493000.0,Medical Emergency,180,705,702700.97,Rented,0,0.45,0.36,702700.97,0,1
Rohan Mehta,34,Female,Married,Graduate,Self-Employed,1,258000.0,21500.0,3689.7,0.37,3,549000.0,Medical Emergency,60,817,39385.0,Mortgaged,3,0.6,0.37,39385.0,0,1
Aarav Sharma,44,Male,Divorced,Doctorate,Business,1,185000.0,15416.67,5381.7,0.26,0,908000.0,Personal Loan,48,750,294175.68,Mortgaged,1,1.58,0.26,294175.68,0,1
Vikram Singh,28,Male,Divorced,Graduate,Business,1,822000.0,68500.0,24308.92,0.08,0,2061000.0,Personal Loan,24,517,1876713.75,Rented,0,1.61,0.08,1876713.75,1,0
Neha Gupta,56,Male,Single,High School,Business,1,180000.0,15000.0,5605.69,0.28,2,906000.0,Car Loan,60,712,340513.64,Rented,2,1.38,0.28,340513.64,0,1
Karan Malhotra,26,Male,Single,Post Graduate,Freelancer,1,200000.0,16666.67,7254.52,0.77,2,502000.0,Car Loan,12,844,146940.12,Owned,0,2.95,0.77,146940.12,0,1
Aditya Joshi,21,Female,Divorced,High School,Salaried,0,543000.0,45250.0,13741.36,0.47,1,2122000.0,Business Loan,120,678,1247061.5,Owned,0,0.69,0.47,1247061.5,0,1
Karan Malhotra,42,Female,Divorced,Doctorate,Salaried,0,517000.0,43083.33,2709.93,0.9,0,1124000.0,Car Loan,24,790,172295.83,Mortgaged,0,1.15,0.9,172295.83,0,1
Karan Malhotra,55,Female,Divorced,Doctorate,Self-Employed,1,504000.0,42000.0,16734.32,0.64,3,2563000.0,Business Loan,180,636,1186278.59,Rented,4,0.74,0.64,1186278.59,1,0
Pooja Deshmukh,57,Male,Married,Doctorate,Self-Employed,1,301000.0,25083.33,9655.89,0.14,0,1286000.0,Business Loan,120,802,73841.38,Rented,0,0.81,0.14,73841.38,0,1
Ananya Iyer,21,Female,Single,Post Graduate,Salaried,0,476000.0,39666.67,902.83,0.35,0,2827000.0,Business Loan,48,726,125980.24,Mortgaged,0,1.51,0.35,125980.24,0,0
Rohan Mehta,60,Male,Married,Post Graduate,Salaried,0,180000.0,15000.0,1871.61,0.94,0,1068000.0,Business Loan,60,794,362957.97,Owned,1,1.31,0.94,362957.97,0,1
Aarav Sharma,54,Male,Single,High School,Self-Employed,1,951000.0,79250.0,20999.97,0.06,1,1864000.0,Personal Loan,180,671,1295837.61,Mortgaged,3,0.4,0.06,1295837.61,1,0
Karan Malhotra,25,Female,Divorced,Graduate,Freelancer,1,316000.0,26333.33,5970.49,0.9,2,233000.0,Medical Emergency,360,900,260356.44,Mortgaged,2,0.25,0.9,260356.44,0,1
Priya Patel,59,Female,Married,Doctorate,Salaried,0,835000.0,69583.33,15351.54,0.87,1,755000.0,Home Loan,120,521,1302528.04,Owned,1,0.31,0.87,1302528.04,0,0
Manish Tiwari,58,Female,Married,High School,Freelancer,1,744000.0,62000.0,14104.87,0.44,0,3617000.0,Home Loan,360,670,1361531.76,Owned,1,0.39,0.44,1361531.76,0,1
Kavya Reddy,37,Female,Married,Doctorate,Freelancer,1,439000.0,36583.33,6848.23,0.14,0,1250000.0,Medical Emergency,60,751,438263.56,Owned,4,0.76,0.14,438263.56,0,1
Riya Sen,54,Male,Single,Graduate,Salaried,0,180000.0,15000.0,2915.17,0.72,0,459000.0,Personal Loan,360,788,43911.78,Mortgaged,2,0.28,0.72,43911.78,0,1
Ananya Iyer,31,Female,Married,Doctorate,Salaried,0,551000.0,45916.67,20009.54,0.59,0,1341000.0,Business Loan,360,595,336425.8,Mortgaged,0,0.52,0.59,336425.8,0,0
Ananya Iyer,23,Female,Divorced,High School,Salaried,0,454000.0,37833.33,12983.36,0.57,2,2243000.0,Business Loan,360,776,74006.17,Mortgaged,4,0.51,0.57,74006.17,0,1
Aditya Joshi,25,Male,Single,High School,Business,1,205000.0,17083.33,7084.32,0.37,0,307000.0,Personal Loan,180,562,54736.03,Mortgaged,0,0.51,0.37,54736.03,1,0
Aarav Sharma,25,Male,Divorced,Post Graduate,Freelancer,1,187000.0,15583.33,2944.07,0.36,1,474000.0,Medical Emergency,120,662,367343.83,Mortgaged,4,0.44,0.36,367343.83,0,1
Priya Patel,47,Male,Single,Graduate,Salaried,0,291000.0,24250.0,2969.32,0.65,2,923000.0,Car Loan,180,699,219879.72,Mortgaged,1,0.33,0.65,219879.72,0,1
Divya Agarwal,56,Male,Married,Doctorate,Business,1,640000.0,53333.33,1090.02,0.41,0,2430000.0,Home Loan,48,748,526980.14,Owned,1,0.97,0.41,526980.14,0,1
Aditya Joshi,48,Female,Married,Graduate,Salaried,0,304000.0,25333.33,5670.19,0.44,1,368000.0,Business Loan,48,482,395391.41,Mortgaged,2,0.53,0.44,395391.41,1,0
Rahul Verma,27,Female,Divorced,Graduate,Freelancer,1,744000.0,62000.0,522.89,0.88,1,3900000.0,Business Loan,180,722,1098262.47,Mortgaged,1,0.36,0.88,1098262.47,0,1
Sneha Nair,58,Male,Married,Graduate,Business,1,180000.0,15000.0,1160.14,0.9,0,545000.0,Medical Emergency,120,698,56072.11,Owned,4,0.38,0.9,56072.11,0,1
Manish Tiwari,48,Female,Divorced,Graduate,Freelancer,1,300000.0,25000.0,9793.4,0.72,0,516000.0,Personal Loan,24,582,397547.96,Owned,0,1.25,0.72,397547.96,0,0
Rohan Mehta,33,Female,Married,Post Graduate,Self-Employed,1,1217000.0,101416.67,4691.74,0.28,2,1770000.0,Personal Loan,24,759,639108.41,Mortgaged,1,0.77,0.28,639108.41,0,1
Manish Tiwari,28,Female,Divorced,High School,Business,1,1075000.0,89583.33,6085.47,0.11,1,3152000.0,Education Loan,60,858,1633362.97,Rented,3,0.65,0.11,1633362.97,0,1
Sneha Nair,46,Female,Married,Graduate,Salaried,0,189000.0,15750.0,2613.43,0.31,1,765000.0,Home Loan,360,733,193301.25,Mortgaged,0,0.3,0.31,193301.25,0,1
Priya Patel,53,Female,Divorced,Post Graduate,Business,1,391000.0,32583.33,8870.9,0.5,1,2255000.0,Car Loan,24,474,800111.26,Rented,0,3.16,0.5,800111.26,1,0
Rahul Verma,23,Male,Single,Post Graduate,Freelancer,1,180000.0,15000.0,6689.16,0.52,1,694000.0,Education Loan,120,741,414548.69,Rented,1,0.83,0.52,414548.69,0,1
Amit Kumar,40,Male,Divorced,High School,Salaried,0,313000.0,26083.33,3869.74,0.55,0,822000.0,Education Loan,36,747,281721.56,Mortgaged,2,1.02,0.55,281721.56,0,1
Pooja Deshmukh,22,Female,Divorced,Doctorate,Self-Employed,1,1508000.0,125666.67,33649.58,0.89,0,3322000.0,Car Loan,120,825,3093878.37,Mortgaged,3,0.49,0.89,3093878.37,0,1
Deepak Choudhury,25,Male,Divorced,Doctorate,Business,1,315000.0,26250.0,215.35,0.33,1,1805000.0,Education Loan,240,589,176655.96,Owned,0,0.29,0.33,176655.96,0,1
Sneha Nair,32,Male,Divorced,Graduate,Business,1,517000.0,43083.33,16991.06,0.61,0,1957000.0,Personal Loan,36,598,276093.68,Mortgaged,4,1.66,0.61,276093.68,0,0
Neha Gupta,31,Female,Single,Doctorate,Business,1,393000.0,32750.0,9967.9,0.26,1,1157000.0,Education Loan,240,722,260011.58,Owned,1,0.45,0.26,260011.58,0,1
Riya Sen,25,Male,Married,Doctorate,Freelancer,1,809000.0,67416.67,23342.84,0.75,0,2642000.0,Car Loan,36,628,1666976.03,Mortgaged,4,1.43,0.75,1666976.03,0,0
Aditya Joshi,29,Male,Divorced,Doctorate,Business,1,608000.0,50666.67,12643.53,0.14,1,3133000.0,Home Loan,60,809,183190.58,Owned,0,1.28,0.14,183190.58,0,1
Deepak Choudhury,25,Male,Married,Graduate,Self-Employed,1,553000.0,46083.33,16936.38,0.85,1,3107000.0,Car Loan,12,625,581473.7,Rented,2,5.99,0.85,581473.7,0,0
Rahul Verma,21,Female,Single,Graduate,Business,1,593000.0,49416.67,20699.24,0.81,1,2416000.0,Personal Loan,36,822,113813.1,Rented,0,1.78,0.81,113813.1,0,1
Vikram Singh,57,Female,Married,Graduate,Salaried,0,330000.0,27500.0,235.17,0.24,0,436000.0,Medical Emergency,360,641,368217.77,Rented,4,0.05,0.24,368217.77,0,1
Ananya Iyer,39,Male,Single,Doctorate,Freelancer,1,526000.0,43833.33,1238.87,0.8,2,1709000.0,Business Loan,12,866,850379.92,Mortgaged,2,3.28,0.8,850379.92,0,1
Vikram Singh,58,Female,Married,Graduate,Business,1,180000.0,15000.0,1623.81,0.42,1,748000.0,Home Loan,360,815,439050.74,Owned,1,0.25,0.42,439050.74,0,1
Meera Pillai,34,Male,Married,Doctorate,Salaried,0,180000.0,15000.0,4290.78,0.93,1,341000.0,Home Loan,120,808,358640.65,Rented,1,0.48,0.93,358640.65,0,1
Ananya Iyer,35,Female,Single,Graduate,Business,1,439000.0,36583.33,8988.75,0.78,4,642000.0,Medical Emergency,240,774,1077291.09,Rented,2,0.32,0.78,1077291.09,0,1
Vikram Singh,53,Male,Divorced,Doctorate,Salaried,0,462000.0,38500.0,5083.89,0.09,2,738000.0,Home Loan,120,637,1081121.74,Mortgaged,4,0.29,0.09,1081121.74,0,1
Meera Pillai,51,Female,Married,Graduate,Self-Employed,1,277000.0,23083.33,2971.98,0.83,2,211000.0,Medical Emergency,120,482,209334.4,Rented,4,0.2,0.83,209334.4,1,0
Siddharth Rao,24,Female,Married,High School,Self-Employed,1,789000.0,65750.0,14681.41,0.5,2,4406000.0,Business Loan,60,767,1595954.02,Mortgaged,2,1.34,0.5,1595954.02,0,1
Divya Agarwal,47,Male,Divorced,High School,Business,1,234000.0,19500.0,900.3,0.35,2,497000.0,Car Loan,180,633,116987.7,Rented,1,0.19,0.35,116987.7,0,1
Priya Patel,63,Female,Divorced,Doctorate,Business,1,523000.0,43583.33,12541.59,0.76,2,426000.0,Medical Emergency,180,578,508328.13,Mortgaged,3,0.34,0.76,508328.13,1,0
Aarav Sharma,63,Male,Divorced,Doctorate,Salaried,0,472000.0,39333.33,2234.27,0.26,3,1911000.0,Education Loan,180,745,1122756.34,Owned,3,0.33,0.26,1122756.34,0,1
Karan Malhotra,51,Female,Married,Doctorate,Salaried,0,198000.0,16500.0,4261.37,0.53,3,532000.0,Medical Emergency,60,849,138415.46,Owned,4,0.8,0.53,138415.46,1,0
Neha Gupta,41,Female,Divorced,Doctorate,Salaried,0,348000.0,29000.0,3416.19,0.28,1,1028000.0,Business Loan,60,641,614412.63,Rented,2,0.71,0.28,614412.63,0,0
Vikram Singh,60,Male,Married,Post Graduate,Freelancer,1,180000.0,15000.0,6731.52,0.78,1,1048000.0,Education Loan,120,807,324521.49,Mortgaged,0,1.03,0.78,324521.49,0,1
Sneha Nair,46,Male,Divorced,Post Graduate,Business,1,241000.0,20083.33,4597.88,0.16,2,387000.0,Personal Loan,48,531,481251.78,Owned,1,0.63,0.16,481251.78,1,0
Manish Tiwari,47,Female,Married,Post Graduate,Salaried,0,362000.0,30166.67,892.53,0.41,0,1608000.0,Car Loan,360,830,393098.8,Rented,3,0.18,0.41,393098.8,0,1
Rahul Verma,44,Male,Married,Graduate,Freelancer,1,216000.0,18000.0,3773.25,0.52,0,260000.0,Business Loan,36,704,419618.0,Owned,0,0.61,0.52,419618.0,0,1
Priya Patel,49,Male,Divorced,Post Graduate,Business,1,1342000.0,111833.33,8286.37,0.34,0,5907000.0,Education Loan,360,781,3016577.39,Owned,4,0.22,0.34,3016577.39,0,1
Meera Pillai,27,Female,Single,High School,Salaried,0,433000.0,36083.33,8160.53,0.2,2,2459000.0,Personal Loan,36,718,727855.2,Mortgaged,0,2.12,0.2,727855.2,0,0
Amit Kumar,27,Male,Single,Graduate,Salaried,0,295000.0,24583.33,10493.3,0.74,1,577000.0,Personal Loan,180,693,467120.77,Owned,2,0.56,0.74,467120.77,0,1
Meera Pillai,52,Female,Divorced,High School,Freelancer,1,1713000.0,142750.0,15730.34,0.78,2,4683000.0,Car Loan,24,628,3002328.12,Owned,0,1.48,0.78,3002328.12,0,1
Riya Sen,34,Female,Single,High School,Self-Employed,1,509000.0,42416.67,5966.42,0.7,1,2310000.0,Education Loan,180,843,210643.93,Rented,2,0.44,0.7,210643.93,0,1
Ananya Iyer,24,Female,Single,Doctorate,Salaried,0,526000.0,43833.33,5275.88,0.27,2,543000.0,Education Loan,180,657,1143520.44,Rented,1,0.19,0.27,1143520.44,0,1
Neha Gupta,53,Female,Divorced,High School,Self-Employed,1,776000.0,64666.67,22206.83,0.5,0,2585000.0,Car Loan,60,794,1003902.4,Owned,2,1.01,0.5,1003902.4,0,1
